author_id,author_name,representative_work_id,title,publication_year,current_citations,version_cluster_size,cluster_member_ids,hit_cites_work
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W3122187992,THE PERFORMANCE OF MUTUAL FUNDS IN THE PERIOD 1945–1964,1968,4415,2,https://openalex.org/W3122187992|https://openalex.org/W4247021123,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W4240307802,The Adjustment of Stock Prices to New Information,1969,3579,1,https://openalex.org/W4240307802,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W1575641806,The Capital Asset Pricing Model: Some Empirical Tests,1972,2690,1,https://openalex.org/W1575641806,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2000585652,Studies in the Theory of Capital Markets.,1973,921,2,https://openalex.org/W2000585652|https://openalex.org/W4254054117,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W3121738594,RANDOM WALKS AND TECHNICAL THEORIES: SOME ADDITIONAL EVIDENCE,1970,363,1,https://openalex.org/W3121738594,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W4245335694,Capital Markets: Theory and Evidence,1972,235,1,https://openalex.org/W4245335694,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2012798055,"Risk, the Pricing of Capital Assets, and the Evaluation of Investment Portfolios",1969,155,2,https://openalex.org/W2012798055|https://openalex.org/W3021115659,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W1871068239,Random Walks: Reality or Myth—Comment,1967,60,1,https://openalex.org/W1871068239,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2334067075,Discussion of the Time Series of Behavior of Earnings,1970,2,1,https://openalex.org/W2334067075,0
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2775464730,A study of source credibility with emphasis on author bias,1961,0,1,https://openalex.org/W2775464730,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2118859991,PRACTITIONERS’ CORNER: Computing Robust Standard Errors for Within‐groups Estimators<sup>*</sup>,1987,1426,1,https://openalex.org/W2118859991,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W1964900241,A note on the Anderson-Hsiao estimator for panel data,1989,237,1,https://openalex.org/W1964900241,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W1577242883,La econometría de datos de panel,1990,218,1,https://openalex.org/W1577242883,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2088931338,On the efficient estimation of simultaneous equations with covariance restrictions,1989,22,1,https://openalex.org/W2088931338,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2065633343,An efficient GLS estimator of triangular models with covariance restrictions,1989,21,1,https://openalex.org/W2065633343,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2026382046,Imhof Approximations to Econometric Estimators,1990,18,1,https://openalex.org/W2026382046,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W3121163329,Another Look at the Instrumental Variable Estimation of Error-Components Models,1990,10,1,https://openalex.org/W3121163329,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2338724236,Labour Supply and Hours Constraints,1990,8,1,https://openalex.org/W2338724236,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W3125062754,Female Labour Supply and On-the-Job Search: An Empirical Model Estimated using Complementary Data Sets,1990,2,1,https://openalex.org/W3125062754,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W652574532,Geografia de las Islas Filipinas,1912,1,1,https://openalex.org/W652574532,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W949652403,Causalidad y exogeneidad en econometría,1983,1,1,https://openalex.org/W949652403,0
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2442100119,Imhof Approximations to,1990,0,1,https://openalex.org/W2442100119,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2083357193,The Production Function and the Theory of Capital,1955,255,1,https://openalex.org/W2083357193,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2330035571,Balanced Growth under Constant Returns to Scale,1953,170,1,https://openalex.org/W2330035571,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2313131446,On the Structure of Linear Models,1952,169,1,https://openalex.org/W2313131446,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2330792945,The Theory of Inventory Management,1954,61,1,https://openalex.org/W2330792945,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W4229952748,Statistical Inference in Dynamic Economic Models,1951,38,1,https://openalex.org/W4229952748,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2323466534,An Essay on the Economic Theory of Rank.,1955,24,1,https://openalex.org/W2323466534,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2332540687,VI. The Survival of Mathematical Economics,1954,24,1,https://openalex.org/W2332540687,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2073829918,A Note on the Price Level and Interest Rate in a Growth Model,1953,23,1,https://openalex.org/W2073829918,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2331644752,A Note on Dynamic Multipliers,1951,23,1,https://openalex.org/W2331644752,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W4245526702,Application of Linear Programming to the Theory of the Firm.,1952,12,1,https://openalex.org/W4245526702,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W4238397549,Labor Productivity Functions in Meat Packing,1950,2,1,https://openalex.org/W4238397549,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2327235184,A New Survey of Demand Analysis,1954,1,1,https://openalex.org/W2327235184,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2332466266,"Dynamic Growth under Diminishing Returns to Scale, and Balanced Growth under Constant Returns to Scale: A Brief Comment",1954,0,1,https://openalex.org/W2332466266,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2335400268,"Cahiers du Seminaire d'Econometrie, No. 1.",1952,0,1,https://openalex.org/W2335400268,0
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W4253455495,Some Theory of Sampling,1952,0,1,https://openalex.org/W4253455495,0
