author_name,hit_year,event_time,year,focal_papers,matched_controls,focal_mean_citations,control_mean_citations,focal_minus_control,causal
John A. List,2003,-5,1998,49,49,0.061224489795918366,0.061224489795918366,0.0,0
John A. List,2003,-4,1999,49,49,0.30612244897959184,0.12244897959183673,0.1836734693877551,0
John A. List,2003,-3,2000,49,49,0.2653061224489796,0.16326530612244897,0.10204081632653064,0
John A. List,2003,-2,2001,49,49,0.42857142857142855,0.3469387755102041,0.08163265306122447,0
John A. List,2003,-1,2002,49,49,1.183673469387755,0.2857142857142857,0.8979591836734694,0
John A. List,2003,0,2003,49,49,1.530612244897959,0.7142857142857143,0.8163265306122448,0
John A. List,2003,1,2004,49,49,2.142857142857143,0.7959183673469388,1.346938775510204,0
John A. List,2003,2,2005,49,49,2.2857142857142856,0.8775510204081632,1.4081632653061225,0
John A. List,2003,3,2006,49,49,2.2448979591836733,1.0408163265306123,1.204081632653061,0
John A. List,2003,4,2007,49,49,2.4693877551020407,1.1020408163265305,1.3673469387755102,0
John A. List,2003,5,2008,49,49,3.2244897959183674,1.2244897959183674,2.0,0
Michael C. Jensen,1976,-5,1971,10,10,0.7,0.5,0.19999999999999996,0
Michael C. Jensen,1976,-4,1972,10,10,2.0,1.0,1.0,0
Michael C. Jensen,1976,-3,1973,10,10,3.0,1.2,1.8,0
Michael C. Jensen,1976,-2,1974,10,10,5.7,2.6,3.1,0
Michael C. Jensen,1976,-1,1975,10,10,4.1,1.8,2.3,0
Michael C. Jensen,1976,0,1976,10,10,7.1,1.6,5.5,0
Michael C. Jensen,1976,1,1977,10,10,8.5,2.8,5.7,0
Michael C. Jensen,1976,2,1978,10,10,10.3,1.7,8.600000000000001,0
Michael C. Jensen,1976,3,1979,10,10,9.6,1.8,7.8,0
Michael C. Jensen,1976,4,1980,10,10,8.7,1.8,6.8999999999999995,0
Michael C. Jensen,1976,5,1981,10,10,6.5,1.2,5.3,0
Manuel Arellano,1991,-5,1986,12,12,0.0,0.08333333333333333,-0.08333333333333333,0
Manuel Arellano,1991,-4,1987,12,12,0.08333333333333333,0.08333333333333333,0.0,0
Manuel Arellano,1991,-3,1988,12,12,0.08333333333333333,0.0,0.08333333333333333,0
Manuel Arellano,1991,-2,1989,12,12,0.25,0.16666666666666666,0.08333333333333334,0
Manuel Arellano,1991,-1,1990,12,12,0.4166666666666667,0.4166666666666667,0.0,0
Manuel Arellano,1991,0,1991,12,12,0.08333333333333333,0.16666666666666666,-0.08333333333333333,0
Manuel Arellano,1991,1,1992,12,12,0.6666666666666666,1.0833333333333333,-0.41666666666666663,0
Manuel Arellano,1991,2,1993,12,12,0.25,0.5,-0.25,0
Manuel Arellano,1991,3,1994,12,12,0.25,0.6666666666666666,-0.41666666666666663,0
Manuel Arellano,1991,4,1995,12,12,0.3333333333333333,0.3333333333333333,0.0,0
Manuel Arellano,1991,5,1996,12,12,0.9166666666666666,1.25,-0.33333333333333337,0
Robert M. Solow,1956,-5,1951,15,15,0.0,0.0,0.0,0
Robert M. Solow,1956,-4,1952,15,15,0.2,0.0,0.2,0
Robert M. Solow,1956,-3,1953,15,15,0.4,0.0,0.4,0
Robert M. Solow,1956,-2,1954,15,15,0.13333333333333333,0.0,0.13333333333333333,0
Robert M. Solow,1956,-1,1955,15,15,0.2,0.06666666666666667,0.13333333333333336,0
Robert M. Solow,1956,0,1956,15,15,0.2,0.0,0.2,0
Robert M. Solow,1956,1,1957,15,15,0.2,0.0,0.2,0
Robert M. Solow,1956,2,1958,15,15,0.2,0.0,0.2,0
Robert M. Solow,1956,3,1959,15,15,0.8,0.0,0.8,0
Robert M. Solow,1956,4,1960,15,15,0.0,0.0,0.0,0
Robert M. Solow,1956,5,1961,15,15,0.26666666666666666,0.0,0.26666666666666666,0
