author_name,focal_work_id,focal_title,control_work_id,control_title,publication_year,focal_type,focal_topic,control_topic
John A. List,https://openalex.org/W1524056198,What Experimental Protocol Influence Disparities Between Actual and Hypothetical Stated Values?,https://openalex.org/W2278180568,PREFERENCE BASED VALUES OF SAFETY,2001,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W2102907642,Gender differences in revealed risk taking: evidence from mutual fund investors,https://openalex.org/W2002360596,Technology Investing,2002,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
John A. List,https://openalex.org/W2086118679,The Effects of Environmental Regulations on Foreign Direct Investment,https://openalex.org/W2234386313,地方自治와 環境規制執行의 變化,2000,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W2054357326,The environmental Kuznets curve: does one size fit all?,https://openalex.org/W1483470911,Does an Environmental Kuznets Curve Exist in Korea`s Case?,1999,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W2023672597,"Bureaucratic corruption, environmental policy and inbound US FDI: theory and evidence",https://openalex.org/W1967694928,Trade liberalisation and effects on pollutive emissions to air and deposits of solid waste. A general equilibrium assessment for Norway,2002,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W2167086923,Environmental Regulations and New Plant Location Decisions: Evidence from a Meta‐Analysis,https://openalex.org/W2074827142,The value debate: weighting of life cycle assessments in a global context: global diversity exists and has to be valued,2002,article,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W2106264727,Calibration of the difference between actual and hypothetical valuations in a field experiment,https://openalex.org/W2039783314,Using partial site aggregation to reduce bias in random utility travel cost models,1998,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W2091788384,US county-level determinants of inbound FDI: evidence from a two-step modified count data model,https://openalex.org/W2080996490,Effects of Household Consumption Patterns on CO<sub>2</sub>Requirements,2001,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W3125844915,Optimal Institutional Arrangements for Transboundary Pollutants in a Second-Best World: Evidence from a Differential Game with Asymmetric Players,https://openalex.org/W1147855626,Forms and scope of public subsidies in the polish energy sector and their ecological outcomes,2001,article,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W1999768633,Have Air Pollutant Emissions Converged among U. S. Regions? Evidence from Unit Root Tests,https://openalex.org/W1559987359,Intellectual Property Protection and Industrial Growth,1999,article,Economic Growth and Productivity,Economic Growth and Productivity
John A. List,https://openalex.org/W2076323962,Calibration of Willingness-to-Accept,https://openalex.org/W1502593124,Assessing Demographic Change for Conservation Purposes,2002,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W2071301228,Measuring the effects of air quality regulations on “dirty” firm births: Evidence from the neo‐and mature‐regulatory periods,https://openalex.org/W1968962646,A multivariate cointegration analysis of the role of energy in the US macroeconomy,2000,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W1488916263,Environmental Protection and Economic Growth: What Do the Residuals Tell Us?,https://openalex.org/W1973873666,A model analysis of clean development mechanisms to reduce both CO2 and SO2 emissions between Japan and China,2000,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W3122417694,"Measuring the effects of air quality regulations on ""dirty"" firm births: Evidence from the neo- and mature-regulatory periods",https://openalex.org/W1491487531,What does it take to achieve adoption in sales forecasting?,2000,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W1678227038,Testing neoclassical competitive market theory in the field,https://openalex.org/W2098030049,"Tax Rules, Land Development, and Open Space",2002,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W2141608495,Evidence of Early Withdrawal in Time Deposit Portfolios,https://openalex.org/W2116210203,A profitable trading rule using mean reverting investment trusts discounts,1999,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
John A. List,https://openalex.org/W2008093791,Spatial aspects of pollution control when pollutants have synergistic effects: Evidence from a differential game with asymmetric information,https://openalex.org/W7146492533,Optimal Supply of Public Goods,1999,article,Climate Change Policy and Economics,Climate Change Policy and Economics
