author_id,author_name,hit_work_id,hit_title,hit_publication_year,hit_type,hit_cited_by_count,economics_portfolio_citations,economics_portfolio_works,hit_share,author_position_on_hit,subfield_name,topic_name,hit_author_count,prior_works,prior_cited_works,prior_citations
https://openalex.org/A5068490503,Michael C. Jensen,https://openalex.org/W2752617332,"Theory of the firm: Managerial behavior, agency costs and ownership structure",1976,article,69606,100112,68,0.6952812849608438,first,Economics and Econometrics,Economic theories and models,2,14,14,15978
https://openalex.org/A5107790695,Stephen Bond,https://openalex.org/W2025610165,Some Tests of Specification for Panel Data: Monte Carlo Evidence and an Application to Employment Equations,1991,article,32287,58941,50,0.547785073208802,last,Economics and Econometrics,Spatial and Panel Data Analysis,2,5,4,18
https://openalex.org/A5114113233,Manuel Arellano,https://openalex.org/W2025610165,Some Tests of Specification for Panel Data: Monte Carlo Evidence and an Application to Employment Equations,1991,article,32287,55948,60,0.5770894401944663,first,Economics and Econometrics,Spatial and Panel Data Analysis,2,7,7,656
https://openalex.org/A5001761955,Robert M. Solow,https://openalex.org/W2070631858,A Contribution to the Theory of Economic Growth,1956,article,23612,42132,197,0.560429127504035,first,"General Economics, Econometrics and Finance",Economic Theory and Policy,1,7,6,279
https://openalex.org/A5042962646,Douglas G. Altman,https://openalex.org/W2531269403,ROBINS-I: a tool for assessing risk of bias in non-randomised studies of interventions,2016,article,18045,35287,52,0.5113781279224644,middle,Economics and Econometrics,"Health Systems, Economic Evaluations, Quality of Life",35,42,33,16801
https://openalex.org/A5022067453,Peter Tugwell,https://openalex.org/W2531269403,ROBINS-I: a tool for assessing risk of bias in non-randomised studies of interventions,2016,article,18045,28237,117,0.6390551404185997,middle,Economics and Econometrics,"Health Systems, Economic Evaluations, Quality of Life",35,68,57,8517
https://openalex.org/A5009198168,Ahmedin Jemal,https://openalex.org/W2999417355,"Cancer statistics, 2020",2020,article,21282,27936,78,0.7618127147766323,last,Economics and Econometrics,Economic and Financial Impacts of Cancer,3,44,32,2047
https://openalex.org/A5071476945,Burton G. Malkiel,https://openalex.org/W2131773668,EFFICIENT CAPITAL MARKETS: A REVIEW OF THEORY AND EMPIRICAL WORK*,1970,review,15646,27735,109,0.5641247521182621,first,Finance,Financial Markets and Investment Strategies,2,13,12,631
https://openalex.org/A5004558610,Joseph A. Schumpeter,https://openalex.org/W2323266160,"The General Theory of Employment, Interest and Money.",1936,article,14606,27506,52,0.531011415691122,first,"General Economics, Econometrics and Finance",Economic Theory and Policy,2,8,7,8140
https://openalex.org/A5108357701,Herbert A. Simon,https://openalex.org/W2148962857,A Behavioral Model of Rational Choice,1955,article,14957,27024,44,0.5534709887507401,first,Economics and Econometrics,Economic theories and models,1,7,7,1851
https://openalex.org/A5013327075,Michael C. Munger,https://openalex.org/W3121147769,"Institutions, Institutional Change and Economic Performance",1991,article,25312,26906,57,0.9407567085408459,first,Economics and Econometrics,Economic Theory and Institutions,2,7,7,901
https://openalex.org/A5003087402,Элинор Остром,https://openalex.org/W2175723801,Governing the Commons: The Evolution of Institutions for Collective Action,1992,article,19137,26736,39,0.7157764811490126,last,Economics and Econometrics,Economic Theory and Institutions,2,6,5,447
