event_time,at_risk_rows,prepublication_rows_excluded,prepublication_share_original,mean_citations_at_risk
-10,21317,54757,0.7197859978442043,0.4575690758305578
-9,24372,51702,0.6796277308936036,0.47197604124405057
-8,27995,48079,0.632003049662171,0.49655295584711556
-7,32269,43805,0.5758209112180246,0.5131550417428492
-6,37047,39027,0.5130136446091963,0.5310011603379491
-5,42595,33479,0.4400846544154376,0.552459209256955
-4,49143,26931,0.3540105686568341,0.598518608842765
-3,56822,19252,0.25306937981439126,0.6583893561096055
-2,65873,10201,0.13409311985698136,0.7040517343082903
-1,76074,0,0.0,0.7795435996026238
0,76074,0,0.0,0.9104293189895366
1,76074,0,0.0,0.920498463853879
2,76074,0,0.0,0.8885558773534978
3,76074,0,0.0,0.8351079235014591
4,76074,0,0.0,0.759773379811105
5,76074,0,0.0,0.6830454519064332
6,76074,0,0.0,0.5832610359614323
7,76074,0,0.0,0.5292346928290875
8,76074,0,0.0,0.4800983266273629
9,76074,0,0.0,0.4195520178176512
10,76074,0,0.0,0.3470436665168126
