analysis,unit,event_time,outcome,estimate,observations,authors,causal
economics_big_hit,author_focal_hit,-10,mean_annual_citations,0.12814633246356186,75882,11155,0
economics_big_hit,author_focal_hit,-10,change_from_t_minus_1,-0.6526844310903772,75882,11155,0
economics_big_hit,author_focal_hit,-10,share_positive,0.04783743180200838,75882,11155,0
economics_big_hit,author_focal_hit,-9,mean_annual_citations,0.15116892016552014,75882,11155,0
economics_big_hit,author_focal_hit,-9,change_from_t_minus_1,-0.6296618433884189,75882,11155,0
economics_big_hit,author_focal_hit,-9,share_positive,0.05710181597743866,75882,11155,0
economics_big_hit,author_focal_hit,-8,mean_annual_citations,0.18279697424949262,75882,11155,0
economics_big_hit,author_focal_hit,-8,change_from_t_minus_1,-0.5980337893044464,75882,11155,0
economics_big_hit,author_focal_hit,-8,share_positive,0.06711736643736327,75882,11155,0
economics_big_hit,author_focal_hit,-7,mean_annual_citations,0.2178514008592288,75882,11155,0
economics_big_hit,author_focal_hit,-7,change_from_t_minus_1,-0.5629793626947102,75882,11155,0
economics_big_hit,author_focal_hit,-7,share_positive,0.08025618723808017,75882,11155,0
economics_big_hit,author_focal_hit,-6,mean_annual_citations,0.25896787116839304,75882,11155,0
economics_big_hit,author_focal_hit,-6,change_from_t_minus_1,-0.521862892385546,75882,11155,0
economics_big_hit,author_focal_hit,-6,share_positive,0.09454152499934108,75882,11155,0
economics_big_hit,author_focal_hit,-5,mean_annual_citations,0.30971771961730055,75882,11155,0
economics_big_hit,author_focal_hit,-5,change_from_t_minus_1,-0.47111304393663844,75882,11155,0
economics_big_hit,author_focal_hit,-5,share_positive,0.11246408898025882,75882,11155,0
economics_big_hit,author_focal_hit,-4,mean_annual_citations,0.38716691705542816,75882,11155,0
economics_big_hit,author_focal_hit,-4,change_from_t_minus_1,-0.3936638464985108,75882,11155,0
economics_big_hit,author_focal_hit,-4,share_positive,0.13308821591418254,75882,11155,0
economics_big_hit,author_focal_hit,-3,mean_annual_citations,0.4923038401729,75882,11155,0
economics_big_hit,author_focal_hit,-3,change_from_t_minus_1,-0.28852692338103897,75882,11155,0
economics_big_hit,author_focal_hit,-3,share_positive,0.16113175720197148,75882,11155,0
economics_big_hit,author_focal_hit,-2,mean_annual_citations,0.6104478005324055,75882,11155,0
economics_big_hit,author_focal_hit,-2,change_from_t_minus_1,-0.17038296302153344,75882,11155,0
economics_big_hit,author_focal_hit,-2,share_positive,0.19774122980416964,75882,11155,0
economics_big_hit,author_focal_hit,-1,mean_annual_citations,0.780830763553939,75882,11155,0
economics_big_hit,author_focal_hit,-1,change_from_t_minus_1,0.0,75882,11155,0
economics_big_hit,author_focal_hit,-1,share_positive,0.23993832529453626,75882,11155,0
economics_big_hit,author_focal_hit,0,mean_annual_citations,0.9117313723939802,75882,11155,0
economics_big_hit,author_focal_hit,0,change_from_t_minus_1,0.13090060884004112,75882,11155,0
economics_big_hit,author_focal_hit,0,share_positive,0.2580058511900055,75882,11155,0
economics_big_hit,author_focal_hit,1,mean_annual_citations,0.9217864579215097,75882,11155,0
economics_big_hit,author_focal_hit,1,change_from_t_minus_1,0.1409556943675707,75882,11155,0
economics_big_hit,author_focal_hit,1,share_positive,0.2557523523365225,75882,11155,0
economics_big_hit,author_focal_hit,2,mean_annual_citations,0.8900925120581956,75882,11155,0
economics_big_hit,author_focal_hit,2,change_from_t_minus_1,0.10926174850425661,75882,11155,0
economics_big_hit,author_focal_hit,2,share_positive,0.24679107034606362,75882,11155,0
economics_big_hit,author_focal_hit,3,mean_annual_citations,0.8366279223004138,75882,11155,0
economics_big_hit,author_focal_hit,3,change_from_t_minus_1,0.05579715874647479,75882,11155,0
economics_big_hit,author_focal_hit,3,share_positive,0.23323054215756042,75882,11155,0
economics_big_hit,author_focal_hit,4,mean_annual_citations,0.7612872618012176,75882,11155,0
economics_big_hit,author_focal_hit,4,change_from_t_minus_1,-0.01954350175272133,75882,11155,0
economics_big_hit,author_focal_hit,4,share_positive,0.21401649930154715,75882,11155,0
economics_big_hit,author_focal_hit,5,mean_annual_citations,0.6844179120212962,75882,11155,0
economics_big_hit,author_focal_hit,5,change_from_t_minus_1,-0.09641285153264278,75882,11155,0
economics_big_hit,author_focal_hit,5,share_positive,0.19125747871695528,75882,11155,0
economics_big_hit,author_focal_hit,6,mean_annual_citations,0.5844864394718114,75882,11155,0
economics_big_hit,author_focal_hit,6,change_from_t_minus_1,-0.1963443240821275,75882,11155,0
economics_big_hit,author_focal_hit,6,share_positive,0.16707519569858464,75882,11155,0
economics_big_hit,author_focal_hit,7,mean_annual_citations,0.5303892886323502,75882,11155,0
economics_big_hit,author_focal_hit,7,change_from_t_minus_1,-0.2504414749215888,75882,11155,0
economics_big_hit,author_focal_hit,7,share_positive,0.15000922484910784,75882,11155,0
economics_big_hit,author_focal_hit,8,mean_annual_citations,0.48104952426135317,75882,11155,0
economics_big_hit,author_focal_hit,8,change_from_t_minus_1,-0.2997812392925859,75882,11155,0
economics_big_hit,author_focal_hit,8,share_positive,0.1347486887535911,75882,11155,0
economics_big_hit,author_focal_hit,9,mean_annual_citations,0.420284125352521,75882,11155,0
economics_big_hit,author_focal_hit,9,change_from_t_minus_1,-0.36054663820141797,75882,11155,0
economics_big_hit,author_focal_hit,9,share_positive,0.12055559948340845,75882,11155,0
economics_big_hit,author_focal_hit,10,mean_annual_citations,0.34757913602698925,75882,11155,0
economics_big_hit,author_focal_hit,10,change_from_t_minus_1,-0.43325162752694973,75882,11155,0
economics_big_hit,author_focal_hit,10,share_positive,0.1070214280066419,75882,11155,0
