citation_rank,work_id,title,publication_year,type,cited_by_count,portfolio_citation_share,author_position,is_top_hit_candidate,hit_cites_focal,eligible_unrelated_prior
1,https://openalex.org/W2030360026,Does Market Experience Eliminate Market Anomalies?,2003,article,1214,0.10136094180512649,first,1,0,0
2,https://openalex.org/W1524056198,What Experimental Protocol Influence Disparities Between Actual and Hypothetical Stated Values?,2001,article,973,0.08123904149620105,first,0,0,1
3,https://openalex.org/W2165584372,Do Professional Traders Exhibit Myopic Loss Aversion? An Experimental Analysis,2005,article,777,0.06487434248977206,last,0,0,0
4,https://openalex.org/W2148440443,The behavioralist as tax collector: Using natural field experiments to enhance tax compliance,2017,article,730,0.060950154462720216,middle,0,0,0
5,https://openalex.org/W2102907642,Gender differences in revealed risk taking: evidence from mutual fund investors,2002,article,555,0.0463388160641229,last,0,0,1
6,https://openalex.org/W2086118679,The Effects of Environmental Regulations on Foreign Direct Investment,2000,article,484,0.04041078734240628,first,0,0,1
7,https://openalex.org/W2054357326,The environmental Kuznets curve: does one size fit all?,1999,article,466,0.0389079068214077,first,0,0,1
8,https://openalex.org/W1987211636,Do Explicit Warnings Eliminate the Hypothetical Bias in Elicitation Procedures? Evidence from Field Auctions for Sportscards,2001,article,454,0.03790598647407531,first,0,1,0
9,https://openalex.org/W2059852495,Effects of Environmental Regulations on Manufacturing Plant Births: Evidence from a Propensity Score Matching Estimator,2003,article,402,0.033564331635634964,first,0,0,0
10,https://openalex.org/W2142117488,Are CO2 Emission Levels Converging Among Industrial Countries?,2003,article,391,0.03264590465058028,last,0,0,0
11,https://openalex.org/W2140872471,The Environmental Kuznets Curve: Real Progress or Misspecified Models?,2003,article,355,0.02964014360858312,middle,0,0,0
12,https://openalex.org/W2023672597,"Bureaucratic corruption, environmental policy and inbound US FDI: theory and evidence",2002,article,289,0.02412958169825499,middle,0,0,1
13,https://openalex.org/W2056125794,One Swallow Doesn't Make a Summer: New Evidence on Anchoring Effects,2013,article,280,0.023378141437755698,last,0,0,0
14,https://openalex.org/W2145143898,Consumers’ misunderstanding of health insurance,2013,article,263,0.021958754279034817,middle,0,0,0
15,https://openalex.org/W2167086923,Environmental Regulations and New Plant Location Decisions: Evidence from a Meta‐Analysis,2002,article,260,0.02170827419220172,middle,0,0,1
16,https://openalex.org/W2106264727,Calibration of the difference between actual and hypothetical valuations in a field experiment,1998,article,230,0.019203473323870752,first,0,0,1
17,https://openalex.org/W2049501216,Consequentiality: A Theoretical and Experimental Exploration of a Single Binary Choice,2014,article,224,0.018702513150204558,last,0,0,0
18,https://openalex.org/W2002884515,The effect of varying the causes of environmental problems on stated WTP values: evidence from a field study,2004,article,220,0.018368539701093763,middle,0,0,0
19,https://openalex.org/W2157799850,Using Choice Experiments to Value Non-Market Goods and Services: Evidence from Field Experiments,2006,article,197,0.016448192368706687,first,0,0,0
20,https://openalex.org/W2759432548,How Elections Matter: Theory and Evidence from Environmental Policy*,2006,article,178,0.014861818485430408,first,0,0,0
21,https://openalex.org/W2607162680,Putting a value on injuries to natural assets: The BP oil spill,2017,article,169,0.014110378224931119,middle,0,0,0
22,https://openalex.org/W2141619774,Non-renewable resource prices: Deterministic or stochastic trends?,2006,article,159,0.01327544460215413,middle,0,0,0
23,https://openalex.org/W2091788384,US county-level determinants of inbound FDI: evidence from a two-step modified count data model,2001,article,139,0.011605577356600151,first,0,0,1
24,https://openalex.org/W2087901445,Effects of environmental regulation on foreign and domestic plant births: is there a home field advantage?,2004,article,128,0.010687150371545462,first,0,0,0
25,https://openalex.org/W2063390365,Effects of air quality regulation on the destination choice of relocating plants,2003,article,128,0.010687150371545462,first,0,0,0
26,https://openalex.org/W3125844915,Optimal Institutional Arrangements for Transboundary Pollutants in a Second-Best World: Evidence from a Differential Game with Asymmetric Players,2001,article,127,0.010603657009267763,first,0,0,1
27,https://openalex.org/W1999768633,Have Air Pollutant Emissions Converged among U. S. Regions? Evidence from Unit Root Tests,1999,article,124,0.010353176922434667,first,0,0,1
28,https://openalex.org/W2116979732,Using <i>Ex Ante</i> Approaches to Obtain Credible Signals for Value in Contingent Markets: Evidence from the Field,2007,article,120,0.01001920347332387,last,0,0,0
29,https://openalex.org/W1978055245,The Case of the Missing Pollution Haven Hypothesis,2004,article,100,0.008349336227769892,last,0,0,0
30,https://openalex.org/W2076323962,Calibration of Willingness-to-Accept,2002,article,90,0.007514402604992903,first,0,0,1
31,https://openalex.org/W2766843744,Scaling for Economists: Lessons from the Non-Adherence Problem in the Medical Literature,2017,article,77,0.006428988895382817,middle,0,0,0
32,https://openalex.org/W2144454777,Information Cascades: Evidence from a Field Experiment with Financial Market Professionals,2004,article,76,0.006345495533105118,last,0,0,0
33,https://openalex.org/W1984407178,The Market: Catalyst for Rationality and Filter of Irrationality,2008,article,75,0.006262002170827419,first,0,0,0
34,https://openalex.org/W2008714056,"Shadow prices, environmental stringency, and international competitiveness",2005,article,75,0.006262002170827419,middle,0,0,0
35,https://openalex.org/W2980302077,How can experiments play a greater role in public policy? Twelve proposals from an economic model of scaling,2020,article,73,0.006095015446272022,middle,0,0,0
36,https://openalex.org/W2107460714,REGULATORY FEDERALISM AND THE DISTRIBUTION OF AIR POLLUTANT EMISSIONS*,2007,article,71,0.005928028721716623,middle,0,0,0
37,https://openalex.org/W3127880630,The $100 Million Nudge: Increasing Tax Compliance of Businesses and the Self-Employed Using a Natural Field Experiment,2020,article,61,0.005093095098939634,middle,0,0,0
38,https://openalex.org/W1909688980,Is Hypothetical Bias a Universal Phenomenon? A Multinational Investigation,2008,article,58,0.004842615012106538,last,0,0,0
39,https://openalex.org/W2015394005,The Unintended Disincentive in the Clean Air Act,2004,article,53,0.004425148200718043,first,0,0,0
40,https://openalex.org/W2168071960,Examining Trends of Criteria Air Pollutants: Are the Effects of Governmental Intervention Transitory?,2004,article,50,0.004174668113884946,last,0,0,0
41,https://openalex.org/W3123760536,Field Experiments in Labor Economics,2010,preprint,49,0.004091174751607247,first,0,0,0
42,https://openalex.org/W2071301228,Measuring the effects of air quality regulations on “dirty” firm births: Evidence from the neo‐and mature‐regulatory periods,2000,article,48,0.0040076813893295486,first,0,0,1
43,https://openalex.org/W2232734197,Using Random nth Price Auctions to Value Non-Market Goods and Services,2003,article,48,0.0040076813893295486,first,0,0,0
44,https://openalex.org/W2510845435,The Use of Field Experiments in Environmental and Resource Economics,2016,article,45,0.0037572013024964514,first,0,0,0
45,https://openalex.org/W2095696288,Valuation on the Frontier: Calibrating Actual and Hypothetical Statements of Value,2004,article,45,0.0037572013024964514,last,0,0,0
46,https://openalex.org/W2892163328,Do Equal Employment Opportunity Statements Backfire? Evidence From A Natural Field Experiment On Job-Entry Decisions,2018,preprint,44,0.0036737079402187527,last,0,0,0
47,https://openalex.org/W3047255041,The $100 Million Nudge: Increasing Tax Compliance of Businesses and the Self-Employed using a Natural Field Experiment,2020,preprint,39,0.003256241128830258,middle,0,0,0
48,https://openalex.org/W2511641285,Can Myopic Loss Aversion Explain the Equity Premium Puzzle? Evidence from a Natural Field Experiment with Professional Traders,2016,preprint,33,0.0027552809551640643,middle,0,0,0
49,https://openalex.org/W2164613854,"Scientific Numerology, Preference Anomalies, and Environmental Policymaking",2005,article,33,0.0027552809551640643,first,0,0,0
50,https://openalex.org/W1488916263,Environmental Protection and Economic Growth: What Do the Residuals Tell Us?,2000,article,32,0.0026717875928863656,first,0,0,1
51,https://openalex.org/W2152328119,Can Field Experiments Return Agricultural Economics to the Glory Days?,2009,article,31,0.002588294230608667,last,0,0,0
