year,event_time,eligible_papers,total_citations,mean_citations,median_citations,zero_share
1996,-7,1,0,0.0,0,1.0
1997,-6,1,0,0.0,0,1.0
1998,-5,5,3,0.6,0,0.8
1999,-4,13,7,0.5384615384615384,0,0.8461538461538461
2000,-3,22,10,0.45454545454545453,0,0.8181818181818182
2001,-2,30,14,0.4666666666666667,0,0.8333333333333334
2002,-1,49,58,1.183673469387755,0,0.6326530612244898
2003,0,49,76,1.5510204081632653,0,0.6530612244897959
2004,1,49,107,2.183673469387755,0,0.5510204081632653
2005,2,49,112,2.2857142857142856,0,0.6122448979591837
2006,3,49,108,2.204081632653061,0,0.6326530612244898
2007,4,49,121,2.4693877551020407,0,0.5102040816326531
2008,5,49,157,3.204081632653061,0,0.5918367346938775
2009,6,49,166,3.3877551020408165,0,0.6326530612244898
2010,7,49,176,3.5918367346938775,0,0.6530612244897959
2011,8,49,183,3.7346938775510203,0,0.5918367346938775
2012,9,49,178,3.63265306122449,0,0.6122448979591837
2013,10,49,192,3.9183673469387754,0,0.5714285714285714
2014,11,49,206,4.204081632653061,0,0.6122448979591837
2015,12,49,184,3.7551020408163267,0,0.5714285714285714
2016,13,49,196,4.0,0,0.6122448979591837
2017,14,49,198,4.040816326530612,0,0.673469387755102
2018,15,49,190,3.877551020408163,0,0.673469387755102
