author_position_on_focal,event_time,rows,observed_rows,missing_rows,missing_rate,mean_citations_zero_missing,mean_citations_observed_only
first,-1,38624,38624,0,0.00000000,0.58735501,0.58735501
first,-10,38624,38624,0,0.00000000,0.12365369,0.12365369
first,-2,38624,38624,0,0.00000000,0.48594138,0.48594138
first,-3,38624,38624,0,0.00000000,0.39485812,0.39485812
first,-4,38624,38624,0,0.00000000,0.32156172,0.32156172
first,-5,38624,38624,0,0.00000000,0.26299710,0.26299710
first,-6,38624,38624,0,0.00000000,0.22993476,0.22993476
first,-7,38624,38624,0,0.00000000,0.19860708,0.19860708
first,-8,38624,38624,0,0.00000000,0.16854805,0.16854805
first,-9,38624,38624,0,0.00000000,0.14229495,0.14229495
first,0,38624,38624,0,0.00000000,0.68074254,0.68074254
first,1,38624,38624,0,0.00000000,0.68361640,0.68361640
first,10,38624,38624,0,0.00000000,0.30688173,0.30688173
first,2,38624,38624,0,0.00000000,0.67173260,0.67173260
first,3,38624,38624,0,0.00000000,0.62981566,0.62981566
first,4,38624,38624,0,0.00000000,0.58696665,0.58696665
first,5,38624,38624,0,0.00000000,0.52205882,0.52205882
first,6,38624,38624,0,0.00000000,0.44995340,0.44995340
first,7,38624,38624,0,0.00000000,0.41246375,0.41246375
first,8,38624,38624,0,0.00000000,0.36974420,0.36974420
first,9,38624,38624,0,0.00000000,0.34468206,0.34468206
last,-1,17624,17624,0,0.00000000,0.89156832,0.89156832
last,-10,17624,17624,0,0.00000000,0.14973899,0.14973899
last,-2,17624,17624,0,0.00000000,0.68168407,0.68168407
last,-3,17624,17624,0,0.00000000,0.53830005,0.53830005
last,-4,17624,17624,0,0.00000000,0.43843622,0.43843622
last,-5,17624,17624,0,0.00000000,0.35950976,0.35950976
last,-6,17624,17624,0,0.00000000,0.29998865,0.29998865
last,-7,17624,17624,0,0.00000000,0.24886518,0.24886518
last,-8,17624,17624,0,0.00000000,0.20920336,0.20920336
last,-9,17624,17624,0,0.00000000,0.17101680,0.17101680
last,0,17624,17624,0,0.00000000,1.01282342,1.01282342
last,1,17624,17624,0,0.00000000,1.05481162,1.05481162
last,10,17624,17624,0,0.00000000,0.43480481,0.43480481
last,2,17624,17624,0,0.00000000,1.00981616,1.00981616
last,3,17624,17624,0,0.00000000,0.97809805,0.97809805
last,4,17624,17624,0,0.00000000,0.88424875,0.88424875
last,5,17624,17624,0,0.00000000,0.80282569,0.80282569
last,6,17624,17624,0,0.00000000,0.66942805,0.66942805
last,7,17624,17624,0,0.00000000,0.61115524,0.61115524
last,8,17624,17624,0,0.00000000,0.56706764,0.56706764
last,9,17624,17624,0,0.00000000,0.49858148,0.49858148
middle,-1,19826,19826,0,0.00000000,1.05437305,1.05437305
middle,-10,19826,19826,0,0.00000000,0.11797639,0.11797639
middle,-2,19826,19826,0,0.00000000,0.78659336,0.78659336
middle,-3,19826,19826,0,0.00000000,0.63921114,0.63921114
middle,-4,19826,19826,0,0.00000000,0.46736608,0.46736608
middle,-5,19826,19826,0,0.00000000,0.35498840,0.35498840
middle,-6,19826,19826,0,0.00000000,0.27761525,0.27761525
middle,-7,19826,19826,0,0.00000000,0.22707556,0.22707556
middle,-8,19826,19826,0,0.00000000,0.18682538,0.18682538
middle,-9,19826,19826,0,0.00000000,0.15096338,0.15096338
middle,0,19826,19826,0,0.00000000,1.26687178,1.26687178
middle,1,19826,19826,0,0.00000000,1.26258449,1.26258449
middle,10,19826,19826,0,0.00000000,0.34727126,0.34727126
middle,2,19826,19826,0,0.00000000,1.20316756,1.20316756
middle,3,19826,19826,0,0.00000000,1.10793907,1.10793907
middle,4,19826,19826,0,0.00000000,0.98577625,0.98577625
middle,5,19826,19826,0,0.00000000,0.89019469,0.89019469
middle,6,19826,19826,0,0.00000000,0.76636740,0.76636740
middle,7,19826,19826,0,0.00000000,0.68389993,0.68389993
middle,8,19826,19826,0,0.00000000,0.61777464,0.61777464
middle,9,19826,19826,0,0.00000000,0.49515787,0.49515787
