event_time,rows,observed_rows,missing_rows,missing_rate,mean_citations_zero_missing,mean_citations_observed_only
-1,76074,76074,0,0.00000000,0.77954360,0.77954360
-10,76074,76074,0,0.00000000,0.12821726,0.12821726
-2,76074,76074,0,0.00000000,0.60964324,0.60964324
-3,76074,76074,0,0.00000000,0.49177117,0.49177117
-4,76074,76074,0,0.00000000,0.38663670,0.38663670
-5,76074,76074,0,0.00000000,0.30933039,0.30933039
-6,76074,76074,0,0.00000000,0.25859032,0.25859032
-7,76074,76074,0,0.00000000,0.21766964,0.21766964
-8,76074,76074,0,0.00000000,0.18272997,0.18272997
-9,76074,76074,0,0.00000000,0.15120803,0.15120803
0,76074,76074,0,0.00000000,0.91042932,0.91042932
1,76074,76074,0,0.00000000,0.92049846,0.92049846
10,76074,76074,0,0.00000000,0.34704367,0.34704367
2,76074,76074,0,0.00000000,0.88855588,0.88855588
3,76074,76074,0,0.00000000,0.83510792,0.83510792
4,76074,76074,0,0.00000000,0.75977338,0.75977338
5,76074,76074,0,0.00000000,0.68304546,0.68304546
6,76074,76074,0,0.00000000,0.58326104,0.58326104
7,76074,76074,0,0.00000000,0.52923469,0.52923469
8,76074,76074,0,0.00000000,0.48009833,0.48009833
9,76074,76074,0,0.00000000,0.41955202,0.41955202
