focal_age_bin,event_time,rows,observed_rows,missing_rows,missing_rate,mean_citations_zero_missing,mean_citations_observed_only
0-2,-1,26931,26931,0,0.00000000,0.88611637,0.88611637
0-2,-10,7070,7070,0,0.00000000,0.47142857,0.47142857
0-2,-2,23278,23278,0,0.00000000,0.75964430,0.75964430
0-2,-3,19775,19775,0,0.00000000,0.73436157,0.73436157
0-2,-4,16874,16874,0,0.00000000,0.62101458,0.62101458
0-2,-5,14600,14600,0,0.00000000,0.54212329,0.54212329
0-2,-6,12675,12675,0,0.00000000,0.50027613,0.50027613
0-2,-7,10952,10952,0,0.00000000,0.47352082,0.47352082
0-2,-8,9330,9330,0,0.00000000,0.47577706,0.47577706
0-2,-9,8125,8125,0,0.00000000,0.45132308,0.45132308
0-2,0,19252,19252,0,0.00000000,1.25000000,1.25000000
0-2,1,10201,10201,0,0.00000000,1.48210960,1.48210960
11-20,-1,11272,11272,0,0.00000000,0.45981192,0.45981192
11-20,-10,3329,3329,0,0.00000000,0.36827876,0.36827876
11-20,-2,9783,9783,0,0.00000000,0.44505775,0.44505775
11-20,-3,8545,8545,0,0.00000000,0.42270334,0.42270334
11-20,-4,7369,7369,0,0.00000000,0.39476184,0.39476184
11-20,-5,6445,6445,0,0.00000000,0.39317300,0.39317300
11-20,-6,5619,5619,0,0.00000000,0.38120662,0.38120662
11-20,-7,4959,4959,0,0.00000000,0.36136318,0.36136318
11-20,-8,4340,4340,0,0.00000000,0.35622120,0.35622120
11-20,-9,3798,3798,0,0.00000000,0.36229595,0.36229595
11-20,0,13159,13159,0,0.00000000,0.48385136,0.48385136
11-20,1,15158,15158,0,0.00000000,0.49584378,0.49584378
11-20,10,57409,57409,0,0.00000000,0.38711700,0.38711700
11-20,2,17478,17478,0,0.00000000,0.52265705,0.52265705
11-20,3,20236,20236,0,0.00000000,0.51190947,0.51190947
11-20,4,23579,23579,0,0.00000000,0.52886043,0.52886043
11-20,5,27262,27262,0,0.00000000,0.50315457,0.50315457
11-20,6,31540,31540,0,0.00000000,0.46899176,0.46899176
11-20,7,36537,36537,0,0.00000000,0.47247995,0.47247995
11-20,8,42575,42575,0,0.00000000,0.49085144,0.49085144
11-20,9,49626,49626,0,0.00000000,0.44617741,0.44617741
21+,-1,4975,4975,0,0.00000000,0.23115578,0.23115578
21+,-10,2177,2177,0,0.00000000,0.10059715,0.10059715
21+,-2,4464,4464,0,0.00000000,0.22132616,0.22132616
21+,-3,4061,4061,0,0.00000000,0.21866535,0.21866535
21+,-4,3686,3686,0,0.00000000,0.16576234,0.16576234
21+,-5,3340,3340,0,0.00000000,0.13293413,0.13293413
21+,-6,3071,3071,0,0.00000000,0.15076522,0.15076522
21+,-7,2800,2800,0,0.00000000,0.13428571,0.13428571
21+,-8,2554,2554,0,0.00000000,0.12999217,0.12999217
21+,-9,2361,2361,0,0.00000000,0.12960610,0.12960610
21+,0,5506,5506,0,0.00000000,0.23719579,0.23719579
21+,1,6159,6159,0,0.00000000,0.22795908,0.22795908
21+,10,18665,18665,0,0.00000000,0.22378784,0.22378784
21+,2,6894,6894,0,0.00000000,0.22860458,0.22860458
21+,3,7759,7759,0,0.00000000,0.23353525,0.23353525
21+,4,8690,8690,0,0.00000000,0.24579977,0.24579977
21+,5,9785,9785,0,0.00000000,0.24803270,0.24803270
21+,6,11055,11055,0,0.00000000,0.23853460,0.23853460
21+,7,12606,12606,0,0.00000000,0.23401555,0.23401555
21+,8,14247,14247,0,0.00000000,0.23562855,0.23562855
21+,9,16247,16247,0,0.00000000,0.24336801,0.24336801
3-5,-1,16874,16874,0,0.00000000,1.06382600,1.06382600
3-5,-10,4462,4462,0,0.00000000,0.63626177,0.63626177
3-5,-2,14600,14600,0,0.00000000,0.95616438,0.95616438
3-5,-3,12675,12675,0,0.00000000,0.81420118,0.81420118
3-5,-4,10952,10952,0,0.00000000,0.79081446,0.79081446
3-5,-5,9330,9330,0,0.00000000,0.74415863,0.74415863
3-5,-6,8125,8125,0,0.00000000,0.76529231,0.76529231
3-5,-7,7070,7070,0,0.00000000,0.75869873,0.75869873
3-5,-8,6059,6059,0,0.00000000,0.73493976,0.73493976
3-5,-9,5192,5192,0,0.00000000,0.70377504,0.70377504
3-5,0,19775,19775,0,0.00000000,1.23474083,1.23474083
3-5,1,23278,23278,0,0.00000000,1.24619813,1.24619813
3-5,2,26931,26931,0,0.00000000,1.33459582,1.33459582
3-5,3,19252,19252,0,0.00000000,1.31056514,1.31056514
3-5,4,10201,10201,0,0.00000000,1.23085972,1.23085972
6-10,-1,16022,16022,0,0.00000000,0.69623018,0.69623018
6-10,-10,4279,4279,0,0.00000000,0.49941575,0.49941575
6-10,-2,13748,13748,0,0.00000000,0.68322665,0.68322665
6-10,-3,11766,11766,0,0.00000000,0.68578956,0.68578956
6-10,-4,10262,10262,0,0.00000000,0.65805886,0.65805886
6-10,-5,8880,8880,0,0.00000000,0.64144144,0.64144144
6-10,-6,7557,7557,0,0.00000000,0.59653302,0.59653302
6-10,-7,6488,6488,0,0.00000000,0.59201603,0.59201603
6-10,-8,5712,5712,0,0.00000000,0.54814426,0.54814426
6-10,-9,4896,4896,0,0.00000000,0.51062092,0.51062092
6-10,0,18382,18382,0,0.00000000,0.71292569,0.71292569
6-10,1,21278,21278,0,0.00000000,0.79791334,0.79791334
6-10,2,24771,24771,0,0.00000000,0.84546445,0.84546445
6-10,3,28827,28827,0,0.00000000,0.90637250,0.90637250
6-10,4,33604,33604,0,0.00000000,0.91170694,0.91170694
6-10,5,39027,39027,0,0.00000000,0.91777487,0.91777487
6-10,6,33479,33479,0,0.00000000,0.80474327,0.80474327
6-10,7,26931,26931,0,0.00000000,0.74442093,0.74442093
6-10,8,19252,19252,0,0.00000000,0.63723250,0.63723250
6-10,9,10201,10201,0,0.00000000,0.57063033,0.57063033
pre-publication,-10,54757,54757,0,0.00000000,0.00000000,0.00000000
pre-publication,-2,10201,10201,0,0.00000000,0.00000000,0.00000000
pre-publication,-3,19252,19252,0,0.00000000,0.00000000,0.00000000
pre-publication,-4,26931,26931,0,0.00000000,0.00000000,0.00000000
pre-publication,-5,33479,33479,0,0.00000000,0.00000000,0.00000000
pre-publication,-6,39027,39027,0,0.00000000,0.00000000,0.00000000
pre-publication,-7,43805,43805,0,0.00000000,0.00000000,0.00000000
pre-publication,-8,48079,48079,0,0.00000000,0.00000000,0.00000000
pre-publication,-9,51702,51702,0,0.00000000,0.00000000,0.00000000
