hit_publication_year,event_time,rows,observed_rows,missing_rows,missing_rate,mean_citations_zero_missing,mean_citations_observed_only
1990,-1,502,502,0,0.00000000,0.34462151,0.34462151
1990,-10,502,502,0,0.00000000,0.07370518,0.07370518
1990,-2,502,502,0,0.00000000,0.37051793,0.37051793
1990,-3,502,502,0,0.00000000,0.29282869,0.29282869
1990,-4,502,502,0,0.00000000,0.23705179,0.23705179
1990,-5,502,502,0,0.00000000,0.23505976,0.23505976
1990,-6,502,502,0,0.00000000,0.17529880,0.17529880
1990,-7,502,502,0,0.00000000,0.15139442,0.15139442
1990,-8,502,502,0,0.00000000,0.09960159,0.09960159
1990,-9,502,502,0,0.00000000,0.07370518,0.07370518
1990,0,502,502,0,0.00000000,0.58964143,0.58964143
1990,1,502,502,0,0.00000000,0.42828685,0.42828685
1990,10,502,502,0,0.00000000,0.50796813,0.50796813
1990,2,502,502,0,0.00000000,0.44223108,0.44223108
1990,3,502,502,0,0.00000000,0.48804781,0.48804781
1990,4,502,502,0,0.00000000,0.47011952,0.47011952
1990,5,502,502,0,0.00000000,0.42430279,0.42430279
1990,6,502,502,0,0.00000000,0.43027888,0.43027888
1990,7,502,502,0,0.00000000,0.40039841,0.40039841
1990,8,502,502,0,0.00000000,0.38645418,0.38645418
1990,9,502,502,0,0.00000000,0.30079681,0.30079681
1991,-1,525,525,0,0.00000000,0.34666667,0.34666667
1991,-10,525,525,0,0.00000000,0.07809524,0.07809524
1991,-2,525,525,0,0.00000000,0.31238095,0.31238095
1991,-3,525,525,0,0.00000000,0.21333333,0.21333333
1991,-4,525,525,0,0.00000000,0.19238095,0.19238095
1991,-5,525,525,0,0.00000000,0.16000000,0.16000000
1991,-6,525,525,0,0.00000000,0.16380952,0.16380952
1991,-7,525,525,0,0.00000000,0.12190476,0.12190476
1991,-8,525,525,0,0.00000000,0.12000000,0.12000000
1991,-9,525,525,0,0.00000000,0.12952381,0.12952381
1991,0,525,525,0,0.00000000,0.42476190,0.42476190
1991,1,525,525,0,0.00000000,0.50666667,0.50666667
1991,10,525,525,0,0.00000000,0.50476190,0.50476190
1991,2,525,525,0,0.00000000,0.47047619,0.47047619
1991,3,525,525,0,0.00000000,0.46857143,0.46857143
1991,4,525,525,0,0.00000000,0.39809524,0.39809524
1991,5,525,525,0,0.00000000,0.49523810,0.49523810
1991,6,525,525,0,0.00000000,0.36380952,0.36380952
1991,7,525,525,0,0.00000000,0.42666667,0.42666667
1991,8,525,525,0,0.00000000,0.38476190,0.38476190
1991,9,525,525,0,0.00000000,0.40380952,0.40380952
1992,-1,618,618,0,0.00000000,0.39482201,0.39482201
1992,-10,618,618,0,0.00000000,0.18932039,0.18932039
1992,-2,618,618,0,0.00000000,0.43042071,0.43042071
1992,-3,618,618,0,0.00000000,0.36084142,0.36084142
1992,-4,618,618,0,0.00000000,0.30097087,0.30097087
1992,-5,618,618,0,0.00000000,0.27669903,0.27669903
1992,-6,618,618,0,0.00000000,0.29126214,0.29126214
1992,-7,618,618,0,0.00000000,0.22168285,0.22168285
1992,-8,618,618,0,0.00000000,0.23139159,0.23139159
1992,-9,618,618,0,0.00000000,0.17961165,0.17961165
1992,0,618,618,0,0.00000000,0.49352751,0.49352751
1992,1,618,618,0,0.00000000,0.44498382,0.44498382
1992,10,618,618,0,0.00000000,0.49676375,0.49676375
1992,2,618,618,0,0.00000000,0.39320388,0.39320388
1992,3,618,618,0,0.00000000,0.40129450,0.40129450
1992,4,618,618,0,0.00000000,0.43042071,0.43042071
1992,5,618,618,0,0.00000000,0.39158576,0.39158576
1992,6,618,618,0,0.00000000,0.39158576,0.39158576
1992,7,618,618,0,0.00000000,0.44498382,0.44498382
1992,8,618,618,0,0.00000000,0.47087379,0.47087379
1992,9,618,618,0,0.00000000,0.52427184,0.52427184
1993,-1,754,754,0,0.00000000,0.37002653,0.37002653
1993,-10,754,754,0,0.00000000,0.11140584,0.11140584
1993,-2,754,754,0,0.00000000,0.28381963,0.28381963
1993,-3,754,754,0,0.00000000,0.33952255,0.33952255
1993,-4,754,754,0,0.00000000,0.26392573,0.26392573
1993,-5,754,754,0,0.00000000,0.21220159,0.21220159
1993,-6,754,754,0,0.00000000,0.16180371,0.16180371
1993,-7,754,754,0,0.00000000,0.13660477,0.13660477
1993,-8,754,754,0,0.00000000,0.13660477,0.13660477
1993,-9,754,754,0,0.00000000,0.10610080,0.10610080
1993,0,754,754,0,0.00000000,0.35278515,0.35278515
1993,1,754,754,0,0.00000000,0.36074271,0.36074271
1993,10,754,754,0,0.00000000,0.48938992,0.48938992
1993,2,754,754,0,0.00000000,0.45225464,0.45225464
1993,3,754,754,0,0.00000000,0.44297082,0.44297082
1993,4,754,754,0,0.00000000,0.32360743,0.32360743
1993,5,754,754,0,0.00000000,0.39389920,0.39389920
1993,6,754,754,0,0.00000000,0.37400531,0.37400531
1993,7,754,754,0,0.00000000,0.45225464,0.45225464
1993,8,754,754,0,0.00000000,0.50397878,0.50397878
1993,9,754,754,0,0.00000000,0.41511936,0.41511936
1994,-1,615,615,0,0.00000000,0.49593496,0.49593496
1994,-10,615,615,0,0.00000000,0.17073171,0.17073171
1994,-2,615,615,0,0.00000000,0.37560976,0.37560976
1994,-3,615,615,0,0.00000000,0.37723577,0.37723577
1994,-4,615,615,0,0.00000000,0.38373984,0.38373984
1994,-5,615,615,0,0.00000000,0.28292683,0.28292683
1994,-6,615,615,0,0.00000000,0.25528455,0.25528455
1994,-7,615,615,0,0.00000000,0.23089431,0.23089431
1994,-8,615,615,0,0.00000000,0.22113821,0.22113821
1994,-9,615,615,0,0.00000000,0.21626016,0.21626016
1994,0,615,615,0,0.00000000,0.49918699,0.49918699
1994,1,615,615,0,0.00000000,0.63577236,0.63577236
1994,10,615,615,0,0.00000000,1.13495935,1.13495935
1994,2,615,615,0,0.00000000,0.55121951,0.55121951
1994,3,615,615,0,0.00000000,0.50081301,0.50081301
1994,4,615,615,0,0.00000000,0.60325203,0.60325203
1994,5,615,615,0,0.00000000,0.59674797,0.59674797
1994,6,615,615,0,0.00000000,0.60813008,0.60813008
1994,7,615,615,0,0.00000000,0.86341463,0.86341463
1994,8,615,615,0,0.00000000,0.78861789,0.78861789
1994,9,615,615,0,0.00000000,1.01626016,1.01626016
1995,-1,893,893,0,0.00000000,0.47928331,0.47928331
1995,-10,893,893,0,0.00000000,0.15117581,0.15117581
1995,-2,893,893,0,0.00000000,0.32922732,0.32922732
1995,-3,893,893,0,0.00000000,0.33706607,0.33706607
1995,-4,893,893,0,0.00000000,0.24188130,0.24188130
1995,-5,893,893,0,0.00000000,0.26315789,0.26315789
1995,-6,893,893,0,0.00000000,0.19596865,0.19596865
1995,-7,893,893,0,0.00000000,0.19148936,0.19148936
1995,-8,893,893,0,0.00000000,0.13885778,0.13885778
1995,-9,893,893,0,0.00000000,0.15005599,0.15005599
1995,0,893,893,0,0.00000000,0.51847704,0.51847704
1995,1,893,893,0,0.00000000,0.52631579,0.52631579
1995,10,893,893,0,0.00000000,0.68421053,0.68421053
1995,2,893,893,0,0.00000000,0.46472564,0.46472564
1995,3,893,893,0,0.00000000,0.47368421,0.47368421
1995,4,893,893,0,0.00000000,0.44680851,0.44680851
1995,5,893,893,0,0.00000000,0.54871221,0.54871221
1995,6,893,893,0,0.00000000,0.54087346,0.54087346
1995,7,893,893,0,0.00000000,0.51735722,0.51735722
1995,8,893,893,0,0.00000000,0.60358343,0.60358343
1995,9,893,893,0,0.00000000,0.65733483,0.65733483
1996,-1,1032,1032,0,0.00000000,0.37015504,0.37015504
1996,-10,1032,1032,0,0.00000000,0.10658915,0.10658915
1996,-2,1032,1032,0,0.00000000,0.40406977,0.40406977
1996,-3,1032,1032,0,0.00000000,0.36724806,0.36724806
1996,-4,1032,1032,0,0.00000000,0.30620155,0.30620155
1996,-5,1032,1032,0,0.00000000,0.24224806,0.24224806
1996,-6,1032,1032,0,0.00000000,0.22577519,0.22577519
1996,-7,1032,1032,0,0.00000000,0.17635659,0.17635659
1996,-8,1032,1032,0,0.00000000,0.18410853,0.18410853
1996,-9,1032,1032,0,0.00000000,0.13081395,0.13081395
1996,0,1032,1032,0,0.00000000,0.43313953,0.43313953
1996,1,1032,1032,0,0.00000000,0.36627907,0.36627907
1996,10,1032,1032,0,0.00000000,0.52228682,0.52228682
1996,2,1032,1032,0,0.00000000,0.44282946,0.44282946
1996,3,1032,1032,0,0.00000000,0.41085271,0.41085271
1996,4,1032,1032,0,0.00000000,0.55813953,0.55813953
1996,5,1032,1032,0,0.00000000,0.46027132,0.46027132
1996,6,1032,1032,0,0.00000000,0.46608527,0.46608527
1996,7,1032,1032,0,0.00000000,0.52906977,0.52906977
1996,8,1032,1032,0,0.00000000,0.52422481,0.52422481
1996,9,1032,1032,0,0.00000000,0.48934109,0.48934109
1997,-1,795,795,0,0.00000000,0.37484277,0.37484277
1997,-10,795,795,0,0.00000000,0.14465409,0.14465409
1997,-2,795,795,0,0.00000000,0.32075472,0.32075472
1997,-3,795,795,0,0.00000000,0.28805031,0.28805031
1997,-4,795,795,0,0.00000000,0.25786164,0.25786164
1997,-5,795,795,0,0.00000000,0.25283019,0.25283019
1997,-6,795,795,0,0.00000000,0.21635220,0.21635220
1997,-7,795,795,0,0.00000000,0.19874214,0.19874214
1997,-8,795,795,0,0.00000000,0.19119497,0.19119497
1997,-9,795,795,0,0.00000000,0.16981132,0.16981132
1997,0,795,795,0,0.00000000,0.32704403,0.32704403
1997,1,795,795,0,0.00000000,0.42893082,0.42893082
1997,10,795,795,0,0.00000000,0.52830189,0.52830189
1997,2,795,795,0,0.00000000,0.49559748,0.49559748
1997,3,795,795,0,0.00000000,0.49056604,0.49056604
1997,4,795,795,0,0.00000000,0.49308176,0.49308176
1997,5,795,795,0,0.00000000,0.49937107,0.49937107
1997,6,795,795,0,0.00000000,0.60125786,0.60125786
1997,7,795,795,0,0.00000000,0.57735849,0.57735849
1997,8,795,795,0,0.00000000,0.60754717,0.60754717
1997,9,795,795,0,0.00000000,0.56603774,0.56603774
1998,-1,1051,1051,0,0.00000000,0.34538535,0.34538535
1998,-10,1051,1051,0,0.00000000,0.09895338,0.09895338
1998,-2,1051,1051,0,0.00000000,0.28734539,0.28734539
1998,-3,1051,1051,0,0.00000000,0.23786870,0.23786870
1998,-4,1051,1051,0,0.00000000,0.21883920,0.21883920
1998,-5,1051,1051,0,0.00000000,0.21313035,0.21313035
1998,-6,1051,1051,0,0.00000000,0.17316841,0.17316841
1998,-7,1051,1051,0,0.00000000,0.13701237,0.13701237
1998,-8,1051,1051,0,0.00000000,0.12274025,0.12274025
1998,-9,1051,1051,0,0.00000000,0.14557564,0.14557564
1998,0,1051,1051,0,0.00000000,0.44624167,0.44624167
1998,1,1051,1051,0,0.00000000,0.38344434,0.38344434
1998,10,1051,1051,0,0.00000000,0.43577545,0.43577545
1998,2,1051,1051,0,0.00000000,0.45670790,0.45670790
1998,3,1051,1051,0,0.00000000,0.41294006,0.41294006
1998,4,1051,1051,0,0.00000000,0.44243578,0.44243578
1998,5,1051,1051,0,0.00000000,0.51379638,0.51379638
1998,6,1051,1051,0,0.00000000,0.46051380,0.46051380
1998,7,1051,1051,0,0.00000000,0.41769743,0.41769743
1998,8,1051,1051,0,0.00000000,0.33967650,0.33967650
1998,9,1051,1051,0,0.00000000,0.36536632,0.36536632
1999,-1,1181,1181,0,0.00000000,0.40304826,0.40304826
1999,-10,1181,1181,0,0.00000000,0.13886537,0.13886537
1999,-2,1181,1181,0,0.00000000,0.30228620,0.30228620
1999,-3,1181,1181,0,0.00000000,0.25825572,0.25825572
1999,-4,1181,1181,0,0.00000000,0.25402202,0.25402202
1999,-5,1181,1181,0,0.00000000,0.21845893,0.21845893
1999,-6,1181,1181,0,0.00000000,0.23285351,0.23285351
1999,-7,1181,1181,0,0.00000000,0.20491109,0.20491109
1999,-8,1181,1181,0,0.00000000,0.16172735,0.16172735
1999,-9,1181,1181,0,0.00000000,0.14394581,0.14394581
1999,0,1181,1181,0,0.00000000,0.42167655,0.42167655
1999,1,1181,1181,0,0.00000000,0.54022015,0.54022015
1999,10,1181,1181,0,0.00000000,0.55884843,0.55884843
1999,2,1181,1181,0,0.00000000,0.57662997,0.57662997
1999,3,1181,1181,0,0.00000000,0.59610500,0.59610500
1999,4,1181,1181,0,0.00000000,0.66384420,0.66384420
1999,5,1181,1181,0,0.00000000,0.59779848,0.59779848
1999,6,1181,1181,0,0.00000000,0.56900931,0.56900931
1999,7,1181,1181,0,0.00000000,0.55292125,0.55292125
1999,8,1181,1181,0,0.00000000,0.47417443,0.47417443
1999,9,1181,1181,0,0.00000000,0.51820491,0.51820491
2000,-1,1522,1522,0,0.00000000,0.45597898,0.45597898
2000,-10,1522,1522,0,0.00000000,0.10643890,0.10643890
2000,-2,1522,1522,0,0.00000000,0.34756899,0.34756899
2000,-3,1522,1522,0,0.00000000,0.30026281,0.30026281
2000,-4,1522,1522,0,0.00000000,0.22930355,0.22930355
2000,-5,1522,1522,0,0.00000000,0.19382392,0.19382392
2000,-6,1522,1522,0,0.00000000,0.21550591,0.21550591
2000,-7,1522,1522,0,0.00000000,0.14454665,0.14454665
2000,-8,1522,1522,0,0.00000000,0.18199737,0.18199737
2000,-9,1522,1522,0,0.00000000,0.10775296,0.10775296
2000,0,1522,1522,0,0.00000000,0.49802891,0.49802891
2000,1,1522,1522,0,0.00000000,0.54402102,0.54402102
2000,10,1522,1522,0,0.00000000,0.55716163,0.55716163
