event_time,paper_author_hit_pairs,observed_pair_years,mean_citations_zero_missing,mean_citations_observed_only
-10,76074,76074,0.12821726213949575,0.12821726213949575
-9,76074,76074,0.15120803428240923,0.15120803428240923
-8,76074,76074,0.18272997344690695,0.18272997344690695
-7,76074,76074,0.21766963745826431,0.21766963745826431
-6,76074,76074,0.25859031995162607,0.25859031995162607
-5,76074,76074,0.3093303888319268,0.3093303888319268
-4,76074,76074,0.3866366958487788,0.3866366958487788
-3,76074,76074,0.4917711701764072,0.4917711701764072
-2,76074,76074,0.6096432421063701,0.6096432421063701
-1,76074,76074,0.7795436022819886,0.7795436022819886
0,76074,76074,0.9104293188211479,0.9104293188211479
1,76074,76074,0.9204984620238189,0.9204984620238189
2,76074,76074,0.8885558798012462,0.8885558798012462
3,76074,76074,0.8351079212345873,0.8351079212345873
4,76074,76074,0.7597733785524621,0.7597733785524621
5,76074,76074,0.6830454557404633,0.6830454557404633
6,76074,76074,0.5832610353077267,0.5832610353077267
7,76074,76074,0.5292346925362147,0.5292346925362147
8,76074,76074,0.48009832531482505,0.48009832531482505
9,76074,76074,0.4195520151431501,0.4195520151431501
10,76074,76074,0.3470436680074664,0.3470436680074664
