event_time,paper_author_hit_pairs,observed_pair_years,mean_citations_zero_missing,mean_citations_observed_only
-10,233060,149848,0.008199605251866473,0.012752922961934761
-9,233060,141320,0.016583712348751393,0.02734927823379564
-8,233060,132140,0.034639148717068566,0.06109429393067958
-7,233060,123315,0.0736462713464344,0.13918825771398452
-6,233060,112384,0.10938814039303184,0.2268472380410023
-5,233060,100148,0.15102977773963785,0.35146982465950394
-4,233060,85916,0.1990345833690895,0.5399110759346338
-3,233060,72014,0.2886509911610744,0.9341655789152109
-2,233060,55821,0.39157727623787864,1.6348865122444958
-1,233060,38160,0.5408521410795504,3.3032232704402515
0,233060,44436,0.69750707972196,3.6583175803402646
1,233060,46769,0.7548785720415344,3.7617225084992194
2,233060,47896,0.7731785806230156,3.7622557207282443
3,233060,47448,0.7555178923882262,3.711031023436183
4,233060,45530,0.700270316656655,3.584559631012519
5,233060,42476,0.6276194971252038,3.443662303418401
6,233060,39142,0.562683429159873,3.350339788462521
7,233060,33984,0.45932377928430446,3.150011770244821
8,233060,29835,0.3925169484252982,3.0661974191385957
9,233060,26509,0.3395434652020939,2.9851748462786225
10,233060,23785,0.29827083154552475,2.922640319529115
