event_time,paper_author_hit_pairs,observed_pair_years,mean_citations_zero_missing,mean_citations_observed_only
-10,578505,403709,0.03108702604126153,0.044546938512641535
-9,578505,385899,0.06445060976136767,0.09661854526702583
-8,578505,366558,0.11132660910450212,0.17569661554242438
-7,578505,344351,0.15898047553608008,0.26708503823133956
-6,578505,322628,0.25500384612060395,0.45724797599712363
-5,578505,295567,0.3488180741739484,0.6827318340680794
-4,578505,264018,0.46495017329150135,1.0187790226423956
-3,578505,230284,0.7095064001175444,1.7823774122388008
-2,578505,190511,0.9644480168710728,2.9286392911695387
-1,578505,144278,1.3563702993059696,5.4385769140132245
0,578505,164740,1.7393298242884676,6.107873012018939
1,578505,167735,1.7600055314992955,6.070122514680896
2,578505,167470,1.700165080682103,5.8730160625783725
3,578505,161748,1.5568525769008046,5.568211044340579
4,578505,151539,1.367129065435908,5.219059120094497
5,578505,137929,1.1846881185123723,4.968846290482785
6,578505,122122,1.0239133628922827,4.850387317600433
7,578505,107822,0.8602414845161235,4.6155144590157855
8,578505,94138,0.6971123845083448,4.283955469629692
9,578505,81737,0.5877529148408398,4.159903103857494
10,578505,72819,0.49766380584437475,3.953652206154987
