variant,label,transformation,absorbed_effects,model,variable,coefficient,standard_error,p_value,ci_low,ci_high,within_r2,rows,works
original_levels,Original: levels with paper and year FE,levels,work+year,model1,unrelated,0.00034395604200205485,0.000214711195252722,0.10916724050357887,-7.687790069328026e-05,0.0007647899846973899,0.003946324317089633,211825,14675
original_levels,Original: levels with paper and year FE,levels,work+year,model2,unrelated,-0.0005110711739447315,0.000305802574722092,0.09467319832608877,-0.001110444220400032,8.830187251056873e-05,0.2052550952100346,211825,14675
original_levels,Original: levels with paper and year FE,levels,work+year,model2,related,0.004916829353319723,0.0025128099092302197,0.05038208493883016,-8.278068771508038e-06,0.009841936775410953,0.2052550952100346,211825,14675
levels_age_fe,"Levels with paper, year, and age FE",levels,work+year+age,model1,unrelated,0.000346495158718073,0.00021153475295958323,0.10142047750104699,-6.811295708271012e-05,0.0007611032745188562,0.003964506142815405,211825,14675
levels_age_fe,"Levels with paper, year, and age FE",levels,work+year+age,model2,unrelated,-0.0005031405329821014,0.0003054593363683193,0.09952507402082947,-0.0011018408322640073,9.555976629980448e-05,0.20542558676441736,211825,14675
levels_age_fe,"Levels with paper, year, and age FE",levels,work+year+age,model2,related,0.004920968749788406,0.0025150168247557495,0.050390452880995126,-8.464226732863081e-06,0.009850401726309676,0.20542558676441736,211825,14675
log1p_age_fe,"Log1p outcome/exposures with paper, year, and age FE",log1p,work+year+age,model1,unrelated,0.004685533605999687,0.003123099307480031,0.1335410441751992,-0.001435741036661174,0.010806808248660548,3.545433261042952e-05,211825,14675
log1p_age_fe,"Log1p outcome/exposures with paper, year, and age FE",log1p,work+year+age,model2,unrelated,0.01822787080747309,0.00304681879656199,2.19615697011414e-09,0.012256105966211588,0.02419963564873459,0.004198229762599315,211825,14675
log1p_age_fe,"Log1p outcome/exposures with paper, year, and age FE",log1p,work+year+age,model2,related,-0.052291010512779436,0.005162039497717849,4.070118177975287e-24,-0.06240860792830642,-0.04217341309725245,0.004198229762599315,211825,14675
first_difference_age_fe,First differences with year and age FE,levels,year+age,model1,unrelated,8.560119807660131e-05,0.0001916304156500926,0.6550920910580872,-0.0002899944165975802,0.00046119681275078283,5.067813014092426e-05,197029,14675
first_difference_age_fe,First differences with year and age FE,levels,year+age,model2,unrelated,-0.00012098204391395222,0.00010197989997986401,0.23549111657178332,-0.00032086264787448566,7.889856004658124e-05,0.0020655780692468984,197029,14675
first_difference_age_fe,First differences with year and age FE,levels,year+age,model2,related,0.001180569965073074,0.0009434755242581318,0.21082541596870022,-0.0006686420624728644,0.0030297819926190126,0.0020655780692468984,197029,14675
