dimension,group,model,variable,coefficient,standard_error,p_value,ci_low,ci_high,rows,works
paper_age,1-5,model1,unrelated,0.0007455400122171245,0.0005365975832623249,0.16471606080126747,-0.00030619125097703227,0.0017972712754112813,73980,14675
paper_age,1-5,model2,unrelated,4.9496475886845774e-05,0.00022606791777864425,0.8266927690709921,-0.00039359664295929693,0.0004925895947329884,73980,14675
paper_age,1-5,model2,related,0.0047243442252904305,0.002181613095155424,0.030347274121459808,0.0004483825587857995,0.009000305891795062,73980,14675
paper_age,6-10,model1,unrelated,0.0001488967723914158,0.00033005777510542963,0.6519006425441048,-0.0004980164668152262,0.0007958100115980579,64030,14675
paper_age,6-10,model2,unrelated,-0.0002703519532622633,0.00013641238265775954,0.0474935097014758,-0.000537720223271472,-2.9836832530545795e-06,64030,14675
paper_age,6-10,model2,related,0.002552416307843834,0.0021474381954657484,0.2346023753126782,-0.0016565625552690333,0.006761395170956701,64030,14675
paper_age,11+,model1,unrelated,2.210090277763981e-05,0.00018143412191043022,0.903047693941535,-0.00033350997616680343,0.00037771178172208304,73815,9756
paper_age,11+,model2,unrelated,-0.000433891713932408,0.00027877710090446606,0.1196104188160289,-0.0009802948317051614,0.00011251140384034548,73815,9756
paper_age,11+,model2,related,0.0026761833387985304,0.00244229750118688,0.2731817691937647,-0.0021107197635277545,0.007463086441124815,73815,9756
publication_cohort,1990s,model1,unrelated,0.0005811759942322421,0.00035686464463162724,0.10340589594141746,-0.00011827870924574729,0.0012806306977102314,30802,1062
publication_cohort,1990s,model2,unrelated,-0.0004419033882619238,0.0003132438591209403,0.15832341398631636,-0.0010558613521389668,0.0001720545756151192,30802,1062
publication_cohort,1990s,model2,related,0.006075109955245317,0.0030007452460467966,0.0429152654318293,0.0001936492729935962,0.011956570637497037,30802,1062
publication_cohort,2000s,model1,unrelated,-0.0001280856686892466,5.307770235129909e-05,0.015814319074392454,-0.00023211796529779282,-2.4053372080700392e-05,84627,4323
publication_cohort,2000s,model2,unrelated,-0.00019450784792821393,6.909856004341259e-05,0.004878733602878553,-0.0003299410256133026,-5.9074670243125266e-05,84627,4323
publication_cohort,2000s,model2,related,0.00037089717130221625,0.00035854977177161455,0.30093188721055086,-0.00033186038137014825,0.0010736547239745806,84627,4323
publication_cohort,2010s,model1,unrelated,0.00044767952170117763,0.0006116251073996576,0.46419856314708474,-0.0007511056888021513,0.0016464647322045065,96396,9290
publication_cohort,2010s,model2,unrelated,-1.8611445636947132e-05,0.00020249778710709643,0.9267700405237046,-0.00041550710836685614,0.0003782842170929619,96396,9290
publication_cohort,2010s,model2,related,0.0025715141846698523,0.00257877212541702,0.31867447529634324,-0.0024828791811475066,0.007625907550487211,96396,9290
