event_time,paper_author_hit_pairs,observed_pair_years,mean_citations_zero_missing,mean_citations_observed_only
-10,301816,204320,0.022066424576563205,0.03259592795614722
-9,301816,194280,0.03128727436583879,0.04860510603253037
-8,301816,183371,0.049755480160097544,0.08189408357919191
-7,301816,171050,0.07666260238025817,0.1352703887752119
-6,301816,157392,0.12301203382193124,0.23588873640337502
-5,301816,141829,0.1786585204230392,0.3801902290786793
-4,301816,125532,0.29525273676677183,0.7098747729662556
-3,301816,103980,0.37487409547538897,1.0881227159069051
-2,301816,78574,0.5712420812680573,2.1942372795072163
-1,301816,45512,0.8452931587457259,5.605620495693444
0,301816,60080,1.4294006944628515,7.18069241011984
1,301816,58732,1.1645042012351896,5.98423346727508
2,301816,56224,0.9395426352479657,5.043557911212294
3,301816,54339,0.8350021204972566,4.637865989436684
4,301816,55064,0.7593898269144115,4.162356530582595
5,301816,50869,0.6736024597768177,3.996618765849535
6,301816,46278,0.5517832056617277,3.598621375167466
7,301816,41723,0.4956662337318101,3.585552333245452
8,301816,39012,0.45652317968563627,3.531887624320722
9,301816,35242,0.38877329233705304,3.329493218319051
10,301816,31102,0.3116998436133273,3.024757250337599
