variant,label,model,variable,coefficient,standard_error,p_value,ci_low,ci_high,within_r2,rows,works
full,Full panel,model1,unrelated,0.00034395604200205485,0.000214711195252722,0.10916724050357887,-7.687790069328026e-05,0.0007647899846973899,0.003946324317089633,211825,14675
full,Full panel,model2,unrelated,-0.0005110711739447315,0.000305802574722092,0.09467319832608877,-0.001110444220400032,8.830187251056873e-05,0.2052550952100346,211825,14675
full,Full panel,model2,related,0.004916829353319723,0.0025128099092302197,0.05038208493883016,-8.278068771508038e-06,0.009841936775410953,0.2052550952100346,211825,14675
balanced_age_1_5,Balanced ages 1–5,model1,unrelated,0.0007455400122171245,0.0005365975832623249,0.16471606080126747,-0.00030619125097703227,0.0017972712754112813,0.00754546264148781,73980,14675
balanced_age_1_5,Balanced ages 1–5,model2,unrelated,4.9496475886845774e-05,0.00022606791777864425,0.8266927690709921,-0.00039359664295929693,0.0004925895947329884,0.05321694254523235,73980,14675
balanced_age_1_5,Balanced ages 1–5,model2,related,0.0047243442252904305,0.002181613095155424,0.030347274121459808,0.0004483825587857995,0.009000305891795062,0.05321694254523235,73980,14675
outcome_winsorized_99,Outcome capped 99%,model1,unrelated,-4.096589020187795e-05,1.1808492171781941e-05,0.0005220322277382432,-6.411053485857055e-05,-1.7821245545185344e-05,0.0014597383736270064,211825,14675
outcome_winsorized_99,Outcome capped 99%,model2,unrelated,-4.353628705782505e-05,1.3015801061468926e-05,0.0008231830559572635,-6.904725713830414e-05,-1.8025316977345956e-05,0.0015071785752258648,211825,14675
outcome_winsorized_99,Outcome capped 99%,model2,related,1.4781053135258215e-05,1.5427252754446848e-05,0.33800572472404505,-1.5456362263457604e-05,4.501846853397404e-05,0.0015071785752258648,211825,14675
exposure_winsorized_99,Exposures capped 99%,model1,unrelated,0.0012795706147137697,0.0009113240800794767,0.1602954531002386,-0.0005066245822420046,0.003065765811669544,0.010621808050744974,211825,14675
exposure_winsorized_99,Exposures capped 99%,model2,unrelated,0.001164788630942842,0.0008892920659081747,0.19026583072613526,-0.0005782238182371804,0.0029078010801228643,0.011357833179583832,211825,14675
exposure_winsorized_99,Exposures capped 99%,model2,related,0.0034739467945966345,0.0017671663707011366,0.04931837356062561,1.0300708022406742e-05,0.006937592881170862,0.011357833179583832,211825,14675
all_winsorized_99,All capped 99%,model1,unrelated,-0.00014211710682811955,2.4051735636880432e-05,3.4459040204606966e-09,-0.00018925850867640518,-9.49757049798339e-05,0.0034166932671979566,211825,14675
all_winsorized_99,All capped 99%,model2,unrelated,-0.00010312119882616592,2.4950222829163212e-05,3.5793832447063336e-05,-0.0001520236355713258,-5.421876208100602e-05,0.005631962965608861,211825,14675
all_winsorized_99,All capped 99%,model2,related,-0.0011802349563510813,0.00039007266122556875,0.002480748926669526,-0.001944777372353196,-0.0004156925403489666,0.005631962965608861,211825,14675
